"GO.ID","Term","Annotated","Significant","Expected","weight01","Fisher_p","padj","Lineage","Condition","Ontology","N_focal","N_universe"
"GO:0016043","cellular component organization",19,1,0.86,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0000375","RNA splicing, via transesterification reactions",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0000398","mRNA splicing, via spliceosome",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006082","organic acid metabolic process",13,0,0.59,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006163","purine nucleotide metabolic process",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006259","DNA metabolic process",18,0,0.82,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006260","DNA replication",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006281","DNA repair",10,0,0.45,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006355","regulation of DNA-templated transcription",8,0,0.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006396","RNA processing",13,0,0.59,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006397","mRNA processing",8,0,0.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006399","tRNA metabolic process",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006412","translation",31,0,1.41,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006457","protein folding",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006520","amino acid metabolic process",12,0,0.55,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006753","nucleoside phosphate metabolic process",8,0,0.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006793","phosphorus metabolic process",12,0,0.55,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006796","phosphate-containing compound metabolic process",12,0,0.55,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006810","transport",15,0,0.68,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0008380","RNA splicing",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0008652","amino acid biosynthetic process",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0009117","nucleotide metabolic process",8,0,0.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0009150","purine ribonucleotide metabolic process",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
